Firstname;Lastname;Gender;Martial_Status;Nationality;Security_ID;Email;Phone;City;Postcode;Address;Password;Booking_Date;Move_in_Date;Shared_2h_House;Shared_3h_House;Family_1h_House;Family_2h_House;Budget_Min;Budget_Max;Building_A;Building_B;Building_C;Building_D;Building_E;Building_F
Ochoa;Hasani;Male;Divorced;Gambia;153746-1937;ochoa.hasani@gmail.com;+22 924895631;Sao Paulo;23407;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Patel;Kristi;Male;Maried;Georgia;153846-3947;patel.kristi@gmail.com;+89 707113735;Tokyo;23555;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
Quinn;Luka;Female;Widow;Germany;153831-1336;quinn.luka@gmail.com;+11 347125410;New York;12756;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Reily;Brahimi;Female;Divorced;Ghana;391736-8463;reily.brahimi@gmail.com;+38 202409165;Mexico City;47856;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Smith;Sinani;Female;Living apart;Gibraltar;139462-3917;smith.sinani@gmail.com;+84 636588389;Mumbai;74245;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Trott;Thanasi;Female;Single;Greece;394616-2927;trott.thanasi@gmail.com;+33 19403278;S?o Paulo;96343;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Usman;Halili;Female;Cohabitation;Greenland;391649-0736;usman.halili@gmail.com;+12 389729822;Ha Noi;23407;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Valdo;Abazi;Male;Maried;Grenada;173836-9271;valdo.abazi@gmail.com;+89 995792096;Mumbai;23555;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
White;Dibra;Female;Single;Guadeloupe;148494-4942;white.dibra@gmail.com;+84 19718882;Helsinki;23866;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Xiang;Huber;Female;Single;Guam;374939-9373;xiang.huber@gmail.com;+90 210410401;Vantaa;35244;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Yakub;Bauer;Female;Engaged;Guatemala;749271-3947;yakub.bauer@gmail.com;+381 783943421;Oulu;98333;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Zafar;Wagner;Female;Single;Philippines;746153-3949;zafar.wagner@gmail.com;+384 843748511;Bangkok;37311;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Sneezy;Miller;Male;Cohabitation;Switzerland;749263-9271;sneezy.miller@gmail.com;+381 602323433;Tokyo;96343;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Sleepy;Pichler;Male;Divorced;Syrian Arab;937361-3947;sleepy.pichler@gmail.com;+384 959869574;New York;23407;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Dopey;Steiner;Male;Maried;Taiwan;371916-9473;dopey.steiner@gmail.com;+23 301071896;Mexico City;23555;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Doc;Moser;Male;Widow;Tajikistan;151738-9626;doc.moser@gmail.com;+38 515682429;Mumbai;12756;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Happy;Mayer;Female;Divorced;Tanzania;461836-4836;happy.mayer@gmail.com;+47 734831020;S?o Paulo;47856;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
Bashful;Hofer;Female;Living apart;Thailand;273548-4837;bashful.hofer@gmail.com;+19 278888184;Tokyo;74245;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Grumpy;Leitner;Female;Single;Timor-Leste;257382-9482;grumpy.leitner@gmail.com;+22 690427671;New York;23407;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Mufasa;Berger;Female;Cohabitation;Togo;361518-4947;mufasa.berger@gmail.com;+89 631233019;Mumbai;23555;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Sarabi;Fuchs;Female;Maried;Tokelau;153393-3716;sarabi.fuchs@gmail.com;+11 791338058;Helsinki;12756;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Simba;Eder;Male;Single;Tonga;153738-4828;simba.eder@gmail.com;+38 974739641;Vantaa;47856;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Nala;Fischer;Male;Single;Montserrat;151839-4873;nala.fischer@gmail.com;+384 710614969;Oulu;74245;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
Kiara;Schmid;Female;Engaged;Niger;737151-4949;kiara.schmid@gmail.com;+381 169749729;Bangkok;96343;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
Kovu;Winkler;Female;Single;Philippines;716844-1747;kovu.winkler@gmail.com;+384 96303359;Tokyo;23407;Josenerakatu 5;bachthy20fc;;;;;;;;;;;;;;
Timon;Weber;Female;Cohabitation;Uzbekistan;152631-4847;timon.weber@gmail.com;+23 121278398;New York;67100;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Pumbaa;Schwarz;Female;Divorced;Vanuatu;153749-1834;pumbaa.schwarz@gmail.com;+38 540889122;Mexico City;67355;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Rafiki;Maier;Female;Maried;Venezuela;718621-3864;rafiki.maier@gmail.com;+47 342165495;Bangkok;34633;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Shenzi;Schneider;Female;Widow;Sierra Leone;163881-8473;shenzi.schneider@gmail.com;+19 93727345;Tokyo;23866;Koydenpunojakatu 1;bachthy20fc;;;;;;;;;;;;;;
Long;Le;Male;Divorced;Singapore;618937-1837;long.le@gmail.com;+22 734176224;New York;35244;Vidsasinkatu 5;bachthy20fc;;;;;;;;;;;;;;
Thai;Nguyen;Male;Living apart;Vietnam;731818-3847;thai.nguyen@gmail.com;+89 952607191;Mexico City;98333;Valenxera 1;bachthy20fc;;;;;;;;;;;;;;
Vuong;Tran;Male;Single;Vietnam;151573-3848;vuong.tran@gmail.com;+11 447695320;Mumbai;37311;Valenxera 10;bachthy20fc;;;;;;;;;;;;;;
Hien;Le;Male;Cohabitation;Senegal;716383-1836;hien.le@gmail.com;+38 382725405;Helsinki;38166;Karentiekatu 2;bachthy20fc;;;;;;;;;;;;;;
Tuan;Phan;Female;Maried;Serbia;261638-3847;tuan.phan@gmail.com;+86 487210736;Vantaa;76199;Varienkatu 1;bachthy20fc;;;;;;;;;;;;;;
