Firstname;Lastname;Gender;Security_ID;Email;Phone;Move-in_Date;Budget_Min;Budget_Max;Type_House;Apartment;House;Room;Apartment_Address;Fee;
;;;;;;;;;Family_2h_House;Building A;54;2;Noradelinahausta 54 as 2;460;
;;;;;;;;;Family_2h_House;Building A;55;1;Noradelinahausta 55 as 1;460;
;;;;;;;;;Family_2h_House;Building A;55;2;Noradelinahausta 55 as 2;460;
;;;;;;;;;Family_2h_House;Building A;56;1;Noradelinahausta 56 as 1;460;
;;;;;;;;;Family_2h_House;Building A;56;2;Noradelinahausta 56 as 2;460;
;;;;;;;;;Family_2h_House;Building A;57;1;Noradelinahausta 57 as 1;460;
;;;;;;;;;Family_2h_House;Building A;57;2;Noradelinahausta 57 as 2;460;
;;;;;;;;;Family_2h_House;Building A;58;1;Noradelinahausta 58 as 1;460;
;;;;;;;;;Family_2h_House;Building A;58;2;Noradelinahausta 58 as 2;460;
;;;;;;;;;Family_2h_House;Building A;59;1;Noradelinahausta 59 as 1;460;
;;;;;;;;;Family_2h_House;Building A;59;2;Noradelinahausta 59 as 2;460;
;;;;;;;;;Shared_2h_House;Building B;5;1;Tulenkali Hasarana 5 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;5;2;Tulenkali Hasarana 5 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;6;1;Tulenkali Hasarana 6 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;6;2;Tulenkali Hasarana 6 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;7;1;Tulenkali Hasarana 7 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;7;2;Tulenkali Hasarana 7 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;8;1;Tulenkali Hasarana 8 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;8;2;Tulenkali Hasarana 8 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;9;1;Tulenkali Hasarana 9 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;9;2;Tulenkali Hasarana 9 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;10;1;Tulenkali Hasarana 10 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;10;2;Tulenkali Hasarana 10 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;11;1;Tulenkali Hasarana 11 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;11;2;Tulenkali Hasarana 11 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;12;1;Tulenkali Hasarana 12 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;12;2;Tulenkali Hasarana 12 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;13;1;Tulenkali Hasarana 13 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;13;2;Tulenkali Hasarana 13 as 2;260;
;;;;;;;;;Shared_2h_House;Building B;14;1;Tulenkali Hasarana 14 as 1;260;
;;;;;;;;;Shared_2h_House;Building B;14;2;Tulenkali Hasarana 14 as 2;260;
;;;;;;;;;Shared_3h_House;Building B;10;1;Tulenkali Hasarana 10 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;10;2;Tulenkali Hasarana 10 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;10;3;Tulenkali Hasarana 10 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;11;1;Tulenkali Hasarana 11 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;11;2;Tulenkali Hasarana 11 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;11;3;Tulenkali Hasarana 11 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;12;1;Tulenkali Hasarana 12 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;12;2;Tulenkali Hasarana 12 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;12;3;Tulenkali Hasarana 12 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;13;1;Tulenkali Hasarana 13 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;13;2;Tulenkali Hasarana 13 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;13;3;Tulenkali Hasarana 13 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;14;1;Tulenkali Hasarana 14 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;14;2;Tulenkali Hasarana 14 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;14;3;Tulenkali Hasarana 14 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;15;1;Tulenkali Hasarana 15 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;15;2;Tulenkali Hasarana 15 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;15;3;Tulenkali Hasarana 15 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;16;1;Tulenkali Hasarana 16 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;16;2;Tulenkali Hasarana 16 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;16;3;Tulenkali Hasarana 16 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;17;1;Tulenkali Hasarana 17 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;17;2;Tulenkali Hasarana 17 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;17;3;Tulenkali Hasarana 17 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;18;1;Tulenkali Hasarana 18 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;18;2;Tulenkali Hasarana 18 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;18;3;Tulenkali Hasarana 18 as 3;240;
;;;;;;;;;Shared_3h_House;Building B;19;1;Tulenkali Hasarana 19 as 1;240;
;;;;;;;;;Shared_3h_House;Building B;19;2;Tulenkali Hasarana 19 as 2;240;
;;;;;;;;;Shared_3h_House;Building B;19;3;Tulenkali Hasarana 19 as 3;240;
;;;;;;;;;Family_1h_House;Building B;20;1;Tulenkali Hasarana 20 as 1;380;
;;;;;;;;;Family_1h_House;Building B;21;1;Tulenkali Hasarana 21 as 1;380;
;;;;;;;;;Family_1h_House;Building B;22;1;Tulenkali Hasarana 22 as 1;380;
;;;;;;;;;Family_1h_House;Building B;23;1;Tulenkali Hasarana 23 as 1;380;
;;;;;;;;;Family_1h_House;Building B;24;1;Tulenkali Hasarana 24 as 1;380;
;;;;;;;;;Family_1h_House;Building B;25;1;Tulenkali Hasarana 25 as 1;380;
;;;;;;;;;Family_1h_House;Building B;26;1;Tulenkali Hasarana 26 as 1;380;
;;;;;;;;;Family_1h_House;Building B;27;1;Tulenkali Hasarana 27 as 1;380;
;;;;;;;;;Family_1h_House;Building B;28;1;Tulenkali Hasarana 28 as 1;380;
;;;;;;;;;Family_1h_House;Building B;29;1;Tulenkali Hasarana 29 as 1;380;
;;;;;;;;;Family_2h_House;Building B;30;1;Tulenkali Hasarana 30 as 1;520;
;;;;;;;;;Family_2h_House;Building B;30;2;Tulenkali Hasarana 30 as 2;520;
;;;;;;;;;Family_2h_House;Building B;31;1;Tulenkali Hasarana 31 as 1;520;
;;;;;;;;;Family_2h_House;Building B;31;2;Tulenkali Hasarana 31 as 2;520;
;;;;;;;;;Family_2h_House;Building B;32;1;Tulenkali Hasarana 32 as 1;520;
;;;;;;;;;Family_2h_House;Building B;32;2;Tulenkali Hasarana 32 as 2;520;
;;;;;;;;;Family_2h_House;Building B;33;1;Tulenkali Hasarana 33 as 1;520;
;;;;;;;;;Family_2h_House;Building B;33;2;Tulenkali Hasarana 33 as 2;520;
;;;;;;;;;Family_2h_House;Building B;34;1;Tulenkali Hasarana 34 as 1;520;
;;;;;;;;;Family_2h_House;Building B;34;2;Tulenkali Hasarana 34 as 2;520;
;;;;;;;;;Family_2h_House;Building B;35;1;Tulenkali Hasarana 35 as 1;520;
;;;;;;;;;Family_2h_House;Building B;35;2;Tulenkali Hasarana 35 as 2;520;
;;;;;;;;;Family_2h_House;Building B;36;1;Tulenkali Hasarana 36 as 1;520;
;;;;;;;;;Family_2h_House;Building B;36;2;Tulenkali Hasarana 36 as 2;520;
;;;;;;;;;Family_2h_House;Building B;37;1;Tulenkali Hasarana 37 as 1;520;
;;;;;;;;;Family_2h_House;Building B;37;2;Tulenkali Hasarana 37 as 2;520;
;;;;;;;;;Family_2h_House;Building B;38;1;Tulenkali Hasarana 38 as 1;520;
;;;;;;;;;Family_2h_House;Building B;38;2;Tulenkali Hasarana 38 as 2;520;
;;;;;;;;;Family_2h_House;Building B;39;1;Tulenkali Hasarana 39 as 1;520;
;;;;;;;;;Family_2h_House;Building B;39;2;Tulenkali Hasarana 39 as 2;520;
;;;;;;;;;Shared_2h_House;Building C;1;1;Adelinatulusa C 1/01;300;
;;;;;;;;;Shared_2h_House;Building C;1;2;Adelinatulusa C 1/02;300;
;;;;;;;;;Shared_2h_House;Building C;2;1;Adelinatulusa C 2/01;300;
;;;;;;;;;Shared_2h_House;Building C;2;2;Adelinatulusa C 2/02;300;
;;;;;;;;;Shared_2h_House;Building C;3;1;Adelinatulusa C 3/01;300;
;;;;;;;;;Shared_2h_House;Building C;3;2;Adelinatulusa C 3/02;300;
;;;;;;;;;Shared_2h_House;Building C;4;1;Adelinatulusa C 4/01;300;
;;;;;;;;;Shared_2h_House;Building C;4;2;Adelinatulusa C 4/02;300;
;;;;;;;;;Shared_2h_House;Building C;5;1;Adelinatulusa C 5/01;300;
;;;;;;;;;Shared_2h_House;Building C;5;2;Adelinatulusa C 5/02;300;
;;;;;;;;;Family_2h_House;Building C;6;1;Adelinatulusa C 6/01;590;
;;;;;;;;;Family_2h_House;Building C;6;2;Adelinatulusa C 6/02;590;
;;;;;;;;;Family_2h_House;Building C;7;1;Adelinatulusa C 7/01;590;
;;;;;;;;;Family_2h_House;Building C;7;2;Adelinatulusa C 7/02;590;
;;;;;;;;;Family_2h_House;Building C;8;1;Adelinatulusa C 8/01;590;
;;;;;;;;;Family_2h_House;Building C;8;2;Adelinatulusa C 8/02;590;
;;;;;;;;;Family_2h_House;Building C;9;1;Adelinatulusa C 9/01;590;
;;;;;;;;;Family_2h_House;Building C;9;2;Adelinatulusa C 9/02;590;
;;;;;;;;;Family_2h_House;Building C;10;1;Adelinatulusa C 10/01;590;
;;;;;;;;;Family_2h_House;Building C;10;2;Adelinatulusa C 10/02;590;
;;;;;;;;;Family_2h_House;Building C;11;1;Adelinatulusa C 11/01;590;
;;;;;;;;;Family_2h_House;Building C;11;2;Adelinatulusa C 11/02;590;
;;;;;;;;;Family_2h_House;Building C;12;1;Adelinatulusa C 12/01;590;
;;;;;;;;;Family_2h_House;Building C;12;2;Adelinatulusa C 12/02;590;
;;;;;;;;;Family_2h_House;Building C;13;1;Adelinatulusa C 13/01;590;
;;;;;;;;;Family_2h_House;Building C;13;2;Adelinatulusa C 13/02;590;
;;;;;;;;;Family_2h_House;Building C;14;1;Adelinatulusa C 14/01;590;
;;;;;;;;;Family_2h_House;Building C;14;2;Adelinatulusa C 14/02;590;
;;;;;;;;;Family_2h_House;Building C;15;1;Adelinatulusa C 15/01;590;
;;;;;;;;;Family_2h_House;Building C;15;2;Adelinatulusa C 15/02;590;
;;;;;;;;;Family_1h_House;Building D;1;1;Kalarentina 1D;395;
;;;;;;;;;Family_1h_House;Building D;2;1;Kalarentina 2D;395;
;;;;;;;;;Family_1h_House;Building D;3;1;Kalarentina 3D;395;
;;;;;;;;;Family_1h_House;Building D;4;1;Kalarentina 4D;395;
;;;;;;;;;Family_1h_House;Building D;5;1;Kalarentina 5D;395;
;;;;;;;;;Family_1h_House;Building D;6;1;Kalarentina 6D;395;
;;;;;;;;;Family_1h_House;Building D;7;1;Kalarentina 7D;395;
;;;;;;;;;Family_1h_House;Building D;8;1;Kalarentina 8D;395;
;;;;;;;;;Family_1h_House;Building D;9;1;Kalarentina 9D;395;
;;;;;;;;;Family_1h_House;Building D;10;1;Kalarentina 10D;395;
;;;;;;;;;Family_1h_House;Building D;11;1;Kalarentina 11D;395;
;;;;;;;;;Family_1h_House;Building D;12;1;Kalarentina 12D;395;
;;;;;;;;;Family_1h_House;Building D;13;1;Kalarentina 13D;395;
;;;;;;;;;Family_1h_House;Building D;14;1;Kalarentina 14D;395;
;;;;;;;;;Family_1h_House;Building D;15;1;Kalarentina 15D;395;
;;;;;;;;;Family_1h_House;Building D;16;1;Kalarentina 16D;395;
;;;;;;;;;Family_1h_House;Building D;17;1;Kalarentina 17D;395;
;;;;;;;;;Family_1h_House;Building D;18;1;Kalarentina 18D;395;
;;;;;;;;;Family_1h_House;Building D;19;1;Kalarentina 19D;395;
;;;;;;;;;Family_1h_House;Building D;20;1;Kalarentina 20D;395;
;;;;;;;;;Family_2h_House;Building D;21;1;Kalarentina 21 as 1;600;
;;;;;;;;;Family_2h_House;Building D;21;2;Kalarentina 21 as 2;600;
;;;;;;;;;Family_2h_House;Building D;22;1;Kalarentina 22 as 1;600;
;;;;;;;;;Family_2h_House;Building D;22;2;Kalarentina 22 as 2;600;
;;;;;;;;;Family_2h_House;Building D;23;1;Kalarentina 23 as 1;600;
;;;;;;;;;Family_2h_House;Building D;23;2;Kalarentina 23 as 2;600;
;;;;;;;;;Family_2h_House;Building D;24;1;Kalarentina 24 as 1;600;
;;;;;;;;;Family_2h_House;Building D;24;2;Kalarentina 24 as 2;600;
;;;;;;;;;Family_2h_House;Building D;25;1;Kalarentina 25 as 1;600;
;;;;;;;;;Family_2h_House;Building D;25;2;Kalarentina 25 as 2;600;
;;;;;;;;;Family_2h_House;Building D;26;1;Kalarentina 26 as 1;600;
;;;;;;;;;Family_2h_House;Building D;26;2;Kalarentina 26 as 2;600;
;;;;;;;;;Family_2h_House;Building D;27;1;Kalarentina 27 as 1;600;
;;;;;;;;;Family_2h_House;Building D;27;2;Kalarentina 27 as 2;600;
;;;;;;;;;Family_2h_House;Building D;28;1;Kalarentina 28 as 1;600;
;;;;;;;;;Family_2h_House;Building D;28;2;Kalarentina 28 as 2;600;
;;;;;;;;;Family_2h_House;Building D;29;1;Kalarentina 29 as 1;600;
;;;;;;;;;Family_2h_House;Building D;29;2;Kalarentina 29 as 2;600;
;;;;;;;;;Family_2h_House;Building D;30;1;Kalarentina 30 as 1;600;
;;;;;;;;;Family_2h_House;Building D;30;2;Kalarentina 30 as 2;600;
;;;;;;;;;Family_1h_House;Building E;1;1;Venatiensura 1E;350;
;;;;;;;;;Family_1h_House;Building E;2;1;Venatiensura 2E;350;
;;;;;;;;;Family_1h_House;Building E;3;1;Venatiensura 3E;350;
;;;;;;;;;Family_1h_House;Building E;4;1;Venatiensura 4E;350;
;;;;;;;;;Family_1h_House;Building E;5;1;Venatiensura 5E;350;
;;;;;;;;;Family_1h_House;Building E;6;1;Venatiensura 6E;350;
;;;;;;;;;Family_1h_House;Building E;7;1;Venatiensura 7E;350;
;;;;;;;;;Family_1h_House;Building E;8;1;Venatiensura 8E;350;
;;;;;;;;;Family_1h_House;Building E;9;1;Venatiensura 9E;350;
;;;;;;;;;Family_1h_House;Building E;10;1;Venatiensura 10E;350;
;;;;;;;;;Family_1h_House;Building E;11;1;Venatiensura 11E;350;
;;;;;;;;;Family_1h_House;Building E;12;1;Venatiensura 12E;350;
;;;;;;;;;Family_1h_House;Building E;13;1;Venatiensura 13E;350;
;;;;;;;;;Family_1h_House;Building E;14;1;Venatiensura 14E;350;
;;;;;;;;;Family_1h_House;Building E;15;1;Venatiensura 15E;350;
;;;;;;;;;Family_1h_House;Building E;16;1;Venatiensura 16E;350;
;;;;;;;;;Family_1h_House;Building E;17;1;Venatiensura 17E;350;
;;;;;;;;;Family_1h_House;Building E;18;1;Venatiensura 18E;350;
;;;;;;;;;Family_1h_House;Building E;19;1;Venatiensura 19E;350;
;;;;;;;;;Family_1h_House;Building E;20;1;Venatiensura 20E;350;
;;;;;;;;;Family_2h_House;Building E;21;1;Venatiensura 21E as 1;550;
;;;;;;;;;Family_2h_House;Building E;21;2;Venatiensura 21E as 2;550;
;;;;;;;;;Family_2h_House;Building E;22;1;Venatiensura 22E as 1;550;
;;;;;;;;;Family_2h_House;Building E;22;2;Venatiensura 22E as 2;550;
;;;;;;;;;Family_2h_House;Building E;23;1;Venatiensura 23E as 1;550;
;;;;;;;;;Family_2h_House;Building E;23;2;Venatiensura 23E as 2;550;
;;;;;;;;;Family_2h_House;Building E;24;1;Venatiensura 24E as 1;550;
;;;;;;;;;Family_2h_House;Building E;24;2;Venatiensura 24E as 2;550;
;;;;;;;;;Family_2h_House;Building E;25;1;Venatiensura 25E as 1;550;
;;;;;;;;;Family_2h_House;Building E;25;2;Venatiensura 25E as 2;550;
;;;;;;;;;Family_2h_House;Building E;26;1;Venatiensura 26E as 1;550;
;;;;;;;;;Family_2h_House;Building E;26;2;Venatiensura 26E as 2;550;
;;;;;;;;;Family_2h_House;Building E;27;1;Venatiensura 27E as 1;550;
;;;;;;;;;Family_2h_House;Building E;27;2;Venatiensura 27E as 2;550;
;;;;;;;;;Family_2h_House;Building E;28;1;Venatiensura 28E as 1;550;
;;;;;;;;;Family_2h_House;Building E;28;2;Venatiensura 28E as 2;550;
;;;;;;;;;Family_2h_House;Building E;29;1;Venatiensura 29E as 1;550;
;;;;;;;;;Family_2h_House;Building E;29;2;Venatiensura 29E as 2;550;
;;;;;;;;;Family_2h_House;Building E;30;1;Venatiensura 30E as 1;550;
;;;;;;;;;Family_2h_House;Building E;30;2;Venatiensura 30E as 2;550;
;;;;;;;;;Shared_2h_House;Building F;10;1;Marentinkaulo 10 as 01;250;
;;;;;;;;;Shared_2h_House;Building F;10;2;Marentinkaulo 10 as 02;250;
;;;;;;;;;Shared_2h_House;Building F;11;1;Marentinkaulo 11 as 01;250;
;;;;;;;;;Shared_2h_House;Building F;11;2;Marentinkaulo 11 as 02;250;
;;;;;;;;;Shared_2h_House;Building F;12;1;Marentinkaulo 12 as 01;250;
;;;;;;;;;Shared_2h_House;Building F;12;2;Marentinkaulo 12 as 02;250;
;;;;;;;;;Shared_2h_House;Building F;13;1;Marentinkaulo 13 as 01;250;
;;;;;;;;;Shared_2h_House;Building F;13;2;Marentinkaulo 13 as 02;250;
;;;;;;;;;Shared_2h_House;Building F;14;1;Marentinkaulo 14 as 01;250;
;;;;;;;;;Shared_2h_House;Building F;14;2;Marentinkaulo 14 as 02;250;
;;;;;;;;;Shared_2h_House;Building F;15;1;Marentinkaulo 15 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;15;2;Marentinkaulo 15 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;16;1;Marentinkaulo 16 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;16;2;Marentinkaulo 16 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;17;1;Marentinkaulo 17 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;17;2;Marentinkaulo 17 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;18;1;Marentinkaulo 18 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;18;2;Marentinkaulo 18 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;19;1;Marentinkaulo 19 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;19;2;Marentinkaulo 19 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;20;1;Marentinkaulo 20 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;20;2;Marentinkaulo 20 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;21;1;Marentinkaulo 21 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;21;2;Marentinkaulo 21 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;22;1;Marentinkaulo 22 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;22;2;Marentinkaulo 22 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;23;1;Marentinkaulo 23 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;23;2;Marentinkaulo 23 as 02;240;
;;;;;;;;;Shared_2h_House;Building F;24;1;Marentinkaulo 24 as 01;240;
;;;;;;;;;Shared_2h_House;Building F;24;2;Marentinkaulo 24 as 02;240;
